symbol,trade_date,daily_return,log_return,sma_5,sma_10,sma_20,sma_50,sma_200,volatility_30d,volume_sma_20,volume_ratio,price_vs_sma20_pct,price_vs_sma50_pct,is_above_sma20,is_above_sma50,is_above_sma200,trend_strength,calculated_at
AAPL,2025-04-25,0.0043672313673,0.004357722686745601,208.83,208.83,208.83,208.83,208.83,0.0031,42766624,0.89,0.22,0.22,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-04-28,0.0041093272171,0.0041009069917700425,209.26,209.26,209.26,209.26,209.26,0.0025,41425440,0.94,0.42,0.42,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-04-29,0.0050918435329,0.00507892393543857,209.75,209.75,209.75,209.75,209.75,0.0023,40275989,0.91,0.7,0.7,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-04-30,0.0061076653568,0.006089089168466496,210.30,210.30,210.30,210.30,210.30,0.0023,42678082,1.23,1.05,1.05,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-01,0.0038588235294,0.00385139736791815,210.80,210.80,210.80,210.80,210.80,0.0021,45126014,1.27,1.2,1.2,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-02,-0.0373617101069,-0.03807754532985295,210.02,210.02,210.02,210.02,210.02,0.0157,53109529,1.9,-2.22,-2.22,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-05,-0.0314584855125,-0.03196393232737158,208.67,208.63,208.63,208.63,208.63,0.0179,55098145,1.25,-4.67,-4.67,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-06,-0.0019106038514,-0.001912431383102195,207.13,207.51,207.51,207.51,207.51,0.0168,54666849,0.94,-4.34,-4.34,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-07,-0.0113848168858,-0.011450120029560747,205.15,206.38,206.38,206.38,206.38,0.016,56061858,1.22,-4.91,-4.91,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-07,0.0,0.0,203.01,205.46,205.46,205.46,205.46,0.0152,57203229,1.2,-4.48,-4.48,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-08,0.0063184713376,0.006298593485397573,200.87,204.80,204.80,204.80,204.80,0.0149,56642866,0.89,-3.57,-3.57,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-08,0.0,0.0,198.60,203.89,204.23,204.23,204.23,0.0143,56168713,0.9,-3.3,-3.3,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-09,0.0052660894222,0.0052522720610436,197.63,202.99,203.83,203.83,203.83,0.014,54760514,0.67,-2.6,-2.6,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-09,0.0,0.0,197.58,202.03,203.47,203.47,203.47,0.0135,53540074,0.68,-2.43,-2.43,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-12,0.0617538910996,0.05992215500283287,199.33,201.99,203.93,203.93,203.93,0.0208,54179808,1.18,3.36,3.36,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-12,0.0,0.0,201.41,201.85,204.33,204.33,204.33,0.0202,54744279,1.16,3.16,3.16,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-12,0.0,0.0,203.49,201.64,204.69,204.69,204.69,0.0196,55246031,1.15,2.98,2.98,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-13,0.010152284264,0.010101095986544144,205.69,202.27,205.13,205.13,205.13,0.0191,55070415,0.94,3.8,3.8,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-13,0.0,0.0,207.90,203.44,205.52,205.52,205.52,0.0186,54912361,0.95,3.61,3.61,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-13,0.0,0.0,209.96,204.64,205.87,205.87,205.87,0.0181,54769360,0.95,3.43,3.43,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-14,-0.002817827455,-0.0028218050045725846,211.93,205.98,206.16,206.16,206.16,0.0177,54521926,0.9,2.99,2.99,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-14,0.0,0.0,212.15,207.32,206.34,206.43,206.43,0.0173,54613510,0.9,2.9,2.86,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-14,0.0,0.0,212.37,208.56,206.48,206.68,206.68,0.0169,55118217,0.89,2.83,2.73,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-15,-0.0041444920642,-0.0041531042751649875,212.46,209.72,206.54,206.87,206.87,0.0166,55403963,0.81,2.38,2.21,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-15,0.0,0.0,212.25,210.80,206.55,207.04,207.04,0.0163,55776774,0.81,2.37,2.13,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-15,0.0,0.0,212.04,211.88,206.51,207.21,207.21,0.016,55446911,0.81,2.39,2.05,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-16,-8.985575786E-4,-8.989615234576564E-4,211.80,211.91,206.41,207.35,207.35,0.0157,55327464,0.99,2.35,1.89,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-16,0.0,0.0,211.65,211.95,206.68,207.49,207.49,0.0154,53224156,1.03,2.22,1.82,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-16,0.0,0.0,211.49,211.99,207.24,207.61,207.61,0.0151,52575038,1.04,1.94,1.76,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-19,-0.0117390892739,-0.011808536414883494,210.99,211.65,207.71,207.65,207.65,0.015,52344313,0.88,0.52,0.54,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-19,0.0,0.0,210.61,211.30,208.28,207.69,207.69,0.0148,51322658,0.9,0.24,0.52,true,true,true,up,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-19,0.0,0.0,210.22,210.96,208.85,207.72,207.72,0.0148,50301002,0.92,-0.03,0.51,false,true,true,sideways,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-20,-0.0091962831689,-0.009238830030508977,209.57,210.50,209.27,207.69,207.69,0.0149,49938173,0.85,-1.15,-0.4,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-20,0.0,0.0,208.94,210.04,209.70,207.67,207.67,0.0148,49575345,0.86,-1.35,-0.39,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-20,0.0,0.0,208.31,209.59,210.08,207.65,207.65,0.0148,49850013,0.85,-1.53,-0.38,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-21,-0.0230590737697,-0.023329093219501197,207.00,208.81,210.24,207.50,207.50,0.0153,50884461,1.16,-3.88,-2.61,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-21,0.0,0.0,206.05,208.03,209.85,207.36,207.36,0.0152,50677005,1.17,-3.7,-2.54,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-21,0.0,0.0,205.09,207.25,209.45,207.22,207.22,0.0138,50469548,1.17,-3.51,-2.48,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-22,-0.0036122519669,-0.003618791903050977,204.03,206.42,209.02,207.07,207.07,0.0126,49695303,0.94,-3.66,-2.76,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-22,0.0,0.0,203.24,205.60,208.50,206.93,206.93,0.0126,49460442,0.95,-3.42,-2.69,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-22,0.0,0.0,202.46,204.77,207.97,206.80,206.80,0.0124,49225582,0.95,-3.18,-2.63,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-23,-0.0302443384982,-0.030711134574642217,200.80,203.65,207.17,206.53,206.53,0.0136,50431200,1.56,-5.74,-5.45,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-23,0.0,0.0,199.83,202.52,206.39,206.28,206.28,0.0135,51754249,1.52,-5.39,-5.34,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-23,0.0,0.0,198.85,201.40,205.62,206.03,206.03,0.0135,53077299,1.48,-5.03,-5.22,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-27,0.0252983049111,0.02498359943115492,198.59,200.84,205.06,205.91,205.91,0.0142,53393783,1.05,-2.37,-2.77,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-27,0.0,0.0,198.42,200.29,204.55,205.78,205.78,0.0142,53905556,1.04,-2.12,-2.71,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-27,0.0,0.0,198.26,199.73,204.04,205.67,205.67,0.0087,54417329,1.03,-1.88,-2.65,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-28,0.0010488986564,0.0010483489465638923,198.12,199.59,203.54,205.56,205.56,0.0088,54431429,0.83,-1.53,-2.5,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-28,0.0,0.0,198.86,199.45,203.05,205.46,205.46,0.0088,54004239,0.84,-1.3,-2.45,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-28,0.0,0.0,199.59,199.32,202.56,205.36,205.36,0.0085,53577050,0.85,-1.06,-2.41,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-29,-0.0023450753418,-0.002347829337373175,200.26,199.20,202.04,205.26,205.26,0.0085,53428872,0.96,-1.03,-2.59,false,false,false,down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-29,0.0,0.0,200.23,199.08,201.64,205.09,205.16,0.0085,53671481,0.96,-0.84,-2.51,false,false,false,strong_down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-29,0.0,0.0,200.19,198.96,201.24,204.91,205.06,0.0085,53914091,0.95,-0.64,-2.42,false,false,false,strong_down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-30,0.0045011252813,0.004491025512443687,200.28,199.43,200.88,204.74,204.98,0.0086,55035883,1.29,-0.01,-1.9,false,false,false,strong_down,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-30,0.0,0.0,200.34,199.89,200.61,204.54,204.91,0.0086,56323306,1.26,0.12,-1.8,true,false,false,sideways,2025-10-03T13:27:54.645+10:00
AAPL,2025-05-30,0.0,0.0,200.40,200.36,200.33,204.31,204.84,0.0086,57610729,1.23,0.26,-1.69,true,false,false,sideways,2025-10-03T13:27:54.645+10:00
AAPL,2025-06-02,0.0042320139408,0.004223084154922958,200.59,200.48,200.10,204.09,204.78,0.0086,57289213,0.62,0.8,-1.17,true,false,false,sideways,2025-10-03T13:27:54.645+10:00
AAPL,2025-06-02,0.0,0.0,200.84,200.61,200.08,204.02,204.73,0.0086,56207919,0.63,0.81,-1.14,true,false,false,sideways,2025-10-03T13:27:54.645+10:00
AAPL,2025-06-02,0.0,0.0,201.09,200.73,200.06,204.07,204.68,0.0086,55126624,0.64,0.82,-1.16,true,false,false,sideways,2025-10-03T13:27:54.645+10:00
AAPL,2025-06-03,0.0077838373823,0.007753699610753265,201.56,200.97,200.12,204.16,204.66,0.0088,54543433,0.85,1.57,-0.44,true,false,false,sideways,2025-10-03T13:27:54.645+10:00
