symbol,date,open,high,low,close,volume
AMZN,2025-04-24,180.915,186.74,180.18,186.54,43763196
AMZN,2025-04-25,187.62,189.94,185.49,188.99,36414330
AMZN,2025-04-28,190.105,190.22,184.885,187.7,33224732
AMZN,2025-04-29,183.99,188.0158,183.68,187.39,41667255
AMZN,2025-04-30,182.17,185.05,178.85,184.42,55176543
AMZN,2025-05-01,190.63,191.8071,187.5,190.2,74265963
AMZN,2025-05-02,191.435,192.88,186.4,189.98,77903487
AMZN,2025-05-05,186.51,188.18,185.53,186.35,35217469
AMZN,2025-05-06,184.57,187.93,183.85,185.01,29314055
AMZN,2025-05-07,185.56,190.99,185.01,188.71,44002926
AMZN,2025-05-08,191.43,194.33,188.82,192.08,41043620
AMZN,2025-05-09,193.375,194.69,191.16,193.06,29663143
AMZN,2025-05-12,210.71,211.66,205.75,208.64,75205042
AMZN,2025-05-13,211.08,214.84,210.1,211.37,56193682
AMZN,2025-05-14,211.45,211.93,208.85,210.25,38492128
AMZN,2025-05-15,206.45,206.88,202.673,205.17,64347317
AMZN,2025-05-16,206.85,206.85,204.374,205.59,43318478
AMZN,2025-05-19,201.645,206.62,201.26,206.16,34314810
AMZN,2025-05-20,204.628,205.5899,202.65,204.07,29470373
AMZN,2025-05-21,201.61,203.455,200.06,201.12,42460924
AMZN,2025-05-22,201.38,205.76,200.16,203.1,38938882
AMZN,2025-05-23,198.9,202.37,197.85,200.99,33393545
AMZN,2025-05-27,203.085,206.69,202.19,206.02,34892044
AMZN,2025-05-28,205.915,207.66,204.41,204.72,28549753
AMZN,2025-05-29,208.025,208.81,204.23,205.7,34700005
AMZN,2025-05-30,204.84,205.99,201.695,205.01,51679406
AMZN,2025-06-02,204.98,207.0,202.68,206.65,29113319
AMZN,2025-06-03,207.105,208.9469,205.03,205.71,33139121
AMZN,2025-06-04,206.55,208.18,205.18,207.23,29915592
AMZN,2025-06-05,209.55,212.81,207.56,207.91,51979243
AMZN,2025-06-06,212.4,213.8699,210.5,213.57,39832500
AMZN,2025-06-09,214.75,217.85,212.88,216.98,38102502
AMZN,2025-06-10,216.78,217.69,214.15,217.61,31303317
AMZN,2025-06-11,217.41,218.4,212.89,213.2,39325981
AMZN,2025-06-12,211.78,213.58,211.33,213.24,27639991
AMZN,2025-06-13,209.96,214.05,209.62,212.1,29337763
AMZN,2025-06-16,212.31,217.06,211.6,216.1,33284158
